の,of,no
鳩山,Hatoyama,hatoyama
出題,Questions,shutsudai
圭,Kei,kei
母方,Maternal,hahakata
開港,Open port,kaikou
火曜日,Tuesday,kayoubi
廉価,Low price,renka
城壁,Rampart,jouheki
批准,ratification,hijun
シェル,shell,shieru
フェルナンド,Fernando,ferunando
ルクセンブルク,Luxembourg,rukusenburuku
楽しめる,Enjoy,tanoshi meru
近似,Approximate,kinji
車掌,conductor,shashou
フィレンツェ,Florence,firentsue
柔らかい,soft,yawara kai
部活,Club activities,bukatsu
ロジャー,Roger,rojaa
例年,Every year,reinen
兵員,Military personnel,heiin
左岸,left bank,sagan
後続,Succeeding,kouzoku
プリンセス,Princess,purinsesu
アリー,Ally,arii
ドナルド,Donald Duck,donarudo
遺物,Relic,ibutsu
盛り上がる,Swell,moriagaru
スタメン,Starting member,sutamen
供する,To test,kyousuru
年長,Seniority,nenchou
参拝,Worship,sanpai
牙,fang,kiba
祭神,Worshiped deity,matsuri kami
若松,Wakamatsu,wakamatsu
黒色,The black,kokushoku
伴奏,accompaniment,bansou
悠,Yu,yuu
テロップ,telop,teroppu
ウインドー,Window,uindoo
コネチカット,Connecticut,konechikatto
サウスカロライナ,South Carolina,sausukaroraina
的,Target,teki
手数,Trouble,tesuu
合法,legal,gouhou
緑地,Green tract of land,ryokuchi
突起,Protuberance,tokki
年々,Year by year,nennen
下総,Shimousa,shimousa
兵役,military service,heieki
大同,Datong,daidou
取り壊す,tear down,tori kowasu
悟る,Understand,satoru
水分,moisture,suibun
ハイブリッド,hybrid,haiburiddo
発現,Expression,hatsugen
都営,Toei,toei
願,Cancer,gan
騒音,noise,souon
歌曲,song,kakyoku
右岸,right bank,migigishi
斜め,Slanting,naname
断片,fragment,danpen
八郎,Hachiro,hachirou
廃校,Closed school,haikou
相俟つ,Ai俟Tsu,sou shi tsu
祖国,Fatherland,sokoku
亜目,Suborder,a me
齢,age,rei
着任,Appointed,chakunin
ユネスコ,UNESCO,yunesuko
戦記,Senki,senki
支所,branch,shisho
新町,Shinmachi,shinmachi
武術,martial arts,takeshi jutsu
特設,Special,tokusetsu
累計,Cumulative,ruikei
産卵,Spawning,sanran
アラバマ,Alabama,arabama
すると,Then,suruto
ペドロ,Pedro,pedoro
改番,Second break,kaiban
厳格,strict,genkaku
強まる,Stronger,tsuyoma ru
ヒュー,Hugh,hyuu
援護,Assistance,engo
射殺,Shot dead,shasatsu
子音,consonant,shiin
ホームズ,Holmes,hoomuzu
マニラ,Manila,manira
海運,Shipping,kaiun
工藤,Kudo,kudou
応答,response,outou
報復,Retaliation,houfuku
藍,Indigo,ai
巡礼,pilgrimage,junrei
平氏,Taira,heishi
事象,Phenomenon,jishou
処女,virgin,shojo
莫大,enormous,bakudai
水曜日,Wednesday,suiyoubi
分配,Sharing,bunpai
換算,Conversion,kansan
大作,Epic,taisaku
足りる,Be sufficient,tari ru
背負う,Burdened,seou
密着,Contact,mitchaku
ホルン,Horn,horun
ケルン,Cologne,kerun
柿,persimmon,kaki
リーズ,Leeds,riizu
溶ける,melt,toke ru
専務,Senior Managing Director,senmu
エージェント,Agent,eejiento
エンタープライズ,Enterprise,entaapuraizu
クリントン,Clinton,kurinton
カリブ海,Caribbean Sea,karibu umi
北緯,north latitude,hokui
書紀,ShoOsamu,shoki
いかなる,Any,ikanaru
高圧,High voltage,kouatsu
葉書き,Leaf writing,hagaki
ピッツバーグ,Pittsburgh,pittsubaagu
平家,Heike,heike
待遇,treatment,taiguu
時々,Sometimes,tokidoki
古川,Furukawa,furukawa
ドック,dock,dokku
相模原,Sagamihara,sagamihara
苦労,Hardships,kurou
途絶える,Cease,todae ru
隕石,meteorite,inseki
飛び出す,Fly out,tobidasu
反す,Turn upside down,hansu
崩御,demise,hougyo
肌,skin,hada
封ずる,Fuzuru,fuuzu ru
局所,local,kyokusho
亀山,Kameyama,kameyama
ネパール,Nepal,nepaaru
稔,Minoru,minoru
処罰,Punishment,shobatsu
レーサー,racer,reesaa
孵る,hatch out,fu ru
出動,Dispatch,shutsudou
預ける,Deposit,azuke ru
辛,Shin,shin
負債,liabilities,fusai
安土,Azuchi,azuchi
赤穂,Ako,akou
カラオケ,karaoke,karaoke
寄進,Donated,kishin
准将,Brigadier general,junshou
愚痴,Grumble,guchi
スライド,slide,suraido
舗装,pavement,hosou
誌上,In a magazine,shijou
警官,Police officers,keikan
ニコニコ,smilingly,nikoniko
ディア,Deer,dia
交互に,Alternately,kougo ni
美人,Beauty,bijin
筐体,Housing,kyoutai
幸福,happiness,koufuku
アルジェリア,Algeria,arujieria
遠隔,Remote,enkaku
目処,Outlook,medo
マーガレット,Margaret,maagaretto
定時,Ordinary,teiji
乙女,Maiden,otome
積載,Loading,sekisai
マイン,Mine,main
コンゴ民主共和国,Democratic Republic of the Congo,kongo minshu kyouwakoku
練馬,Nerima,nerima
物真似,mimicry,monomane
酒造,Sake brewing,shuzou
畠山,Hatakeyama,hatakeyama
マクロス,Macross,makurosu
常連,Regular customer,jouren
檜,Japanese cypress,hinoki
バリー,Barry,barii
ブリテン,Britain,buriten
罰金,fine,bakkin
落成,Inauguration,rakusei
鮨,sushi,sushi
マネー,Money,manee
ヒップホップ,hip hop,hippuhoppu
ネルソン,Nelson,neruson
服装,Garments,fukusou
ケア,care,kea
ストック,stock,sutokku
腹部,abdomen,fukubu
教諭,Teacher,kyouyu
日刊,Daily,nikkan
嫁ぐ,marry,totsugu
封入,Inclusion,fuunyuu
佐渡,Sado,sado
カセット,cassette,kasetto
己,Yourself,onore
写像,Map,shazou
因,Cause,in
ヴェルディ,Verdi,verudi
免,Dismissal,men
一見,Glimpse,ikken
カルシウム,calcium,karushiumu
ウォーズ,Wars,uoozu
ビュー,A view,byuu
スプリント,Sprint,supurinto
長寿,longevity,chouju
シャープ,sharp,shaapu
保留,on hold,horyuu
委ねる,Entrust,yudane ru
代役,Stand-in,daiyaku
番付,Ranking list,banzuke
学級,class,gakkyuu
反転,Inverted,hanten
サイエンス,Science,saiensu
レーン,lane,reen
庄内,Shonai,shounai
金田,Kaneda,kaneda
関税,Tariff,kanzei
早々,as soon as,sousou
気体,gas,kitai
リサーチ,research,risaachi
ヨハネス,Johannes,yohanesu
情熱,passion,jounetsu
斤,Loaf,kin
古里,hometown,furusato
付き合う,keep company,tsukiau
灌漑,Irrigation,kangai
疑似,pseudo,giji
おおよそ,approximately,ooyoso
遺言,will,yuigon
ルパン,Lupin,rupan
トヨタ自動車,Toyota Motor Corporation,toyota jidousha
ミシェル,Michel,mishieru
鮎,Ayu,ayu
優等,Excellence,yuutou
公団,Public corporation,koudan
マルコ,Marco,maruko
溶く,Dissolve,toku
疎開,Evacuation,sokai
赤外線,Infra red,sekigaisen
口座,account,kouza
カリウム,potassium,kariumu
忠誠,loyalty,chuusei
教鞭,Teaching,kyouben
通訳,Interpreter,tsuuyaku
強固,Strong,kyouko
アクセント,accent,akusento
展覧,Trade shows,tenran
謳う,Sing,utau
アトラクション,Attraction,atorakushon
バード,Bird,baado
赤松,Akamatsu,akamatsu
寸法,Size,sunpou
工兵,Engineer,kouhei
働き掛ける,Influence,hataraki kake ru
上洛,Proceeding to the capital,jouraku
富士見,Fujimi,fujimi
山麓,Piedmont,sanroku
戴冠,Crowned,taikan
エニックス,Enix,enikkusu
軍需,Munitions,gunju
生ける,The living,ike ru
癩,Leprosy,rai
快,Free,kai
公用,Public use,kouyou
切り離す,Detach,kirihanasu
藤本,Fujimoto,fujimoto
転身,Turnover,tenshin
ブリュッセル,Brussels,buryusseru
本館,Main building,honkan
ウルグアイ,Uruguay,uruguai
ストライキ,strike,sutoraiki
部落,Buraku,buraku
メチル,Methyl,mechiru
アルベルト,Alberto,aruberuto
クリストファー,Christopher,kurisutofaa
声楽,Vocal music,seigaku
砲身,Barrel,houshin
スーパーボウル,Super Bowl,suupaabouru
幼虫,Larva,youchuu
昴,Pleiades,subaru
専任,Full-time,sennin
尋ねる,ask,tazune ru
低地,Lowland,teichi
断面,cross section,danmen
上層,The upper,jousou
取り出す,Take out,toridasu
回帰,Recursion,kaiki
目録,Catalog,mokuroku
知能,Intelligence,chinou
蚤,flea,nomi
社殿,DW,sha dono
混血,Mixed race,konketsu
永正,Eishō,ei sei
スプリング,spring,supuringu
バイオ,Bio,baio
パズル,puzzle,pazuru
躍進,Breakthrough,yakushin
富士通,Fujitsu,fujitsuu
ギニア,Guinea,ginia
風呂,bath,furo
見受ける,Catch sight of,miuke ru
都督,MiyakoTadashi,miyako toku
燃費,Fuel consumption,nenpi
入選,Selected,nyuusen
ボーン,Bourne,boon
名簿,Roster,meibo
元首,Leader,genshu
榴弾,Howitzer,ryuudan
跨ぐ,Straddle,matagu
観戦,Watching,kansen
推力,Thrust,suiryoku
リビア,Libya,ribia
ホルモン,hormone,horumon
オクラホマ,Oklahoma,okurahoma
出自,Origin,shutsuji
赤十字,Red Cross,sekijuuji
適当,suitable,tekitou
麗,Rei,rei
一括,Bulk,ikkatsu
あくまでも,Last,akumademo
延宝,Enpō,en takara
常設,Standing,jousetsu
封じる,Seal,fuuji ru
親方,master,oyakata
痛める,Hurt,itame ru
肥後,Higo,higo
ジオン,Dione,jion
アミノ酸,amino acid,amino san
勝率,Winning percentage,shouritsu
プロフィール,profile,purofiiru
アンケート,questionnaire,ankeeto
稲葉,Inaba,inaba
特攻,Suicide attack,tokkou
直面,Faced,chokumen
中道,Middle of the road,chuudou
八幡宮,Hachiman,hachimanguu
レジスター,register,rejisutaa
相馬,Soma,souma
降ろす,take down,furo su
ボルト,bolt,boruto
妥協,compromise,dakyou
学芸,Arts and sciences,gakugei
意匠,design,ishou
明ける,Dawn,ake ru
代打,Pinch hitting,daida
奇襲,Surprise attack,kishuu
ミックス,mix,mikkusu
フック,hook,fukku
東端,East end,toutan
千里,Thousand miles,senri
匹敵,Rival,hitteki
廃業,Going out of business,haigyou
地表,Earth's surface,chihyou
川島,Kawashima,kawashima
痕跡,trace,konseki
蟹,crab,kani
ボーイズ,Boys,booizu
コロニー,colony,koronii
ウォルター,Walter,uorutaa
ベラルーシ,Belarus,beraruushi
路上,The streets,rojou
離陸,take off,ririku
船長,Captain,senchou
別冊,Separate volume,bessatsu
同点,Tie,douten
売り場,Department,uriba
便利,Convenient,benri
託す,Commit,takusu
葛飾,Katsushika,katsushika
翌月,Next month,yokugetsu
劇的,dramatic,gekiteki
推計,Estimate,suikei
開閉,Open and close,kaihei
麻痺,paralysis,mahi
フード,Food,fuudo
ブロードウェイ,Broadway,buroodouei
全権,Full authority,zenken
大連,Dalian,dairen
アップデート,update,appudeeto
教義,Doctrine,kyougi
亘,Wataru,kou
伝送,transmission,densou
ミッドフィールダー,Midfielder,middofiirudaa
迅速,Quick,jinsoku
片岡,Kataoka,kataoka
中性子,neutron,chuuseishi
供与,Donating,kyouyo
慎重,Prudence,shinchou
担保,collateral,tanpo
松島,Matsushima,matsushima
本庄,Honjo,honjou
四球,Four balls,shikyuu
国債,Government securities,kokusai
百済,Baekje,kudara
坑,Pit,kou
児玉,Kodama,kodama
マニュアル,manual,manyuaru
フィクション,fiction,fikushon
血統,Pedigree,kettou
こういった,Saying,kouitta
罠,trap,wana
凹,Depression,ou
末端,End,mattan
次第,Dependent,shidai
原案,draft, genan
真理,truth,shinri
異性,The opposite sex,isei
ティン,Tin,tein
強硬,Hard-line,kyoukou
大垣,Ogaki,oogaki
大崎,Osaki,oosaki
対峙,Confronting,taiji
拡散,diffusion,kakusan
同居,Living together,doukyo
四川,Sichuan,shisen
板橋,Itabashi,itabashi
給油,Refueling,kyuuyu
キス,kiss,kisu
チェス,chess,chesu
野口,Noguchi,noguchi
大小,Size,daishou
ひどい,Terrible,hidoi
シール,sticker,shiiru
金星,Venus,kinsei
返上,Give up,henjou
有志,Volunteer,yuushi
レイク,Lake,reiku
侯爵,Marquis,koushaku
戦法,Tactics,senpou
迫害,persecution,hakugai
キャンセル,Cancel,kyanseru
オープンソース,Open Source,oopunsoosu
煽る,Stir up,aoru
止む,Cease,tomu
大沢,Osawa,oosawa
ジョーダン,Jordan,joodan
もっとも,The most,mottomo
アイスホッケー,Ice hockey,aisuhokkee
蝦夷,Ainu,ezo
開花,Blooming,kaika
進級,Promotion,shinkyuu
奉仕,service,houshi
トルク,torque,toruku
スティーブ,Steve,suteiibu
充,Charge,juu
艦上,Aboard a warship,kanjou
伺える,Suggests,ukagae ru
公営,Public management,kouei
クリスタル,crystal,kurisutaru
ウィスコンシン,Wisconsin,uisukonshin
創る,create,tsukuru
区切る,punctuate,kugiru
エリザベト,Elisabeth,erizabeto
聡,Satoshi,satoshi
見積もる,estimate,mitsumo ru
インド洋,Indian Ocean,indo hiroshi
哲也,Tetsuya,tetsuya
書き下ろす,Write a play,kaki kudaro su
休戦,Truce,kyuusen
同位,Isotopic,doui
生地,Cloth,kiji
許容,Permission,kyoyou
歳時,Age at the time,toshi toki
母国,Homeland,bokoku
押さえる,Pressing,osa eru
一線,Clear distinction,issen
カープ,Carp,kaapu
備前,Bizen,bizen
銃撃,Shooting,juugeki
スロット,slot,surotto
垢,Dirt,aka
団長,Grandmaster,danchou
世襲,Heredity,seshuu
手順,procedure,tejun
ミスター,Mister,misutaa
強烈,strong,kyouretsu
両軍,Both armies,ryougun
ショウ,show,shou
賛同,Support,sandou
落合,Ochiai,ochiai
米沢,Yonezawa,yonezawa
抹消,Erasure,masshou
ウェル,Well,ueru
胴,Body,dou
父子,Father and child,fushi
隔てる,Separating,hedate ru
占う,Divine,uranau
四方,Every direction,shihou
サテライト,satellite,sateraito
菅原,Sugawara,sugawara
告示,notice,kokuji
接合,Joining,setsugou
ライアン,Ryan,raian
望ましい,desirable,nozoma shii
治郎,Jiro,jirou
ベーシスト,bassist,beeshisuto
チャン,Chan,chan
小牧,Komaki,komaki
オフィシャル,official,ofisharu
理科,Science,rika
調停,arbitration,choutei
ストックホルム,Stockholm,sutokkuhorumu
オバマ,Obama,obama
マリン,Marine,marin
ドラッグ,drag,doraggu
長門,Nagato,nagato
漁港,Fishing harbor,gyokou
寺社,Temples,tera sha
公転,revolution,kouten
城下町,castle town,joukamachi
電報,telegram,denpou
集計,Aggregate,shuukei
複線,Double-track,fukusen
タンカー,tanker,tankaa
スタンリー,Stanley,sutanrii
けど,but,kedo
柵,fence,saku
ナイフ,knife,naifu
ボーイ,Boy,booi
襟,collar,eri
北魏,Northern Wei,kita gi
所沢,Tokorozawa,tokorozawa
引き換える,Redeem,hikikae ru
ローリング,rolling,rooringu
造語,Coined,zougo
カタルーニャ,Catalonia,kataruunya
サブタイトル,subtitle,sabutaitoru
シェイクスピア,Shakespeare,shieikusupia
ルター,Luther,rutaa
打倒,overthrow,datou
巫女,Shrine maiden,miko
曲がる,Bend,magaru
茸,Mushroom,take
寒い,Cold,samui
助成,Assistance,josei
役立つ,Be useful,yakutatsu
サンパウロ,Sao Paulo,sanpauro
チャージ,charge,chaaji
組み合わす,Combining,kumiawasu
結核,tuberculosis,kekkaku
埠頭,Pier,futou
モンテネグロ,Montenegro,monteneguro
元号,Era name,gengou
毒性,toxicity,dokusei
喋る,Talk,shaberu
簡素,Simplicity,kanso
中高,Convex,chuukou
メンテナンス,maintenance,mentenansu
入部,Join the club,nyuubu
未遂,attempted,misui
飼う,keep,kau
混在,A mix,konzai
台本,Libretto,daihon
仰角,Elevation angle,gyoukaku
放火,arson,houka
競る,Sell ​​at auction,seru
ポルシェ,Porsche,porushie
ブラッド,Brad,buraddo
メーター,Meter,meetaa
幕内,Highest rank in sumo,makuuchi
出掛ける,go out,dekake ru
同志社,Doshisha,doushisha
紅葉,Autumn leaves,kouyou
給う,Tamau,tamau
爵位,Peerage,shakui
調和,Harmony,chouwa
アッ,Up,atsu
法定,legal,houtei
持ち主,Owner,mochinushi
改易,Kaieki,kai eki
諜報,Intelligence,chouhou
片方,One side,katahou
河合,Kawai,kawai
ロンバルディア,Lombardy,ronbarudia
縄,rope,nawa
頭角,Stand out,toukaku
パーキング,parking,paakingu
カプセル,capsule,kapuseru
つもりだ,intend,tsumorida
キャップ,cap,kyappu
覚醒,Awakening,kakusei
レンジ,range,renji
晶,Crystal,aki
准教授,Associate professor,junkyouju
悲しむ,Mourn,kanashi mu
ポートランド,Portland,pootorando
従属,Subordination,juuzoku
松岡,Matsuoka,matsuoka
ライプツィヒ,Leipzig,raiputsuihi
反響,Reverberation,hankyou
生殖,Reproduction,seishoku
モーリス,Maurice,moorisu
松戸,Matsudo,matsudo
プファルツ,Palatinate,pufarutsu
ボスニア・ヘルツェゴビナ,Bosnia-Herzegovina,bosunia・herutsuegobina
エストニア,Estonia,esutonia
シールド,shield,shiirudo
川内,Sendai,kawauchi
寄稿,Contribution,kikou
故事,Historical fact,koji
自伝,autobiography,jiden
空挺,Airborne,kuutei
洋画,Movie,youga
本堂,Nave,hondou
杖,Cane,tsue
梓,Catalpa,azusa
シンセサイザー,synthesizer,shinsesaizaa
ひれ,Fin,hire
風土,Climate,fuudo
死傷,Casualties,shishou
干菓子,East,higashi
怪,Kai,kai
転移,Transition, teni
肯定,positive,koutei
自走,Self-propelled,jisou
隅,corner,sumi
クルー,crew,kuruu
汗,Sweat,ase
協調,Cooperation,kyouchou
呼び名,Nickname,yobina
採集,Gathering,saishuu
岡村,Okamura,okamura
峡,Gorges,kyou
セックス,Sex,sekkusu
大勢,Many,oozei
噴射,injection,funsha
ディビジョン,Division,dibijon
ウィン,win,uin
ウイング,wing,uingu
アテナイ,Athens,atenai
雷撃,Lightning,raigeki
薬学,Pharmacy,yakugaku
発光,Luminescence,hakkou
ジャマイカ,Jamaica,jamaika
支障,Difficulty,shishou
レーニン,Lenin,reenin
チャリティー,Charity,chariteii
パラメータ,Parameters,parameeta
基板,substrate,kiban
復刻,Reprint,fukkoku
支出,Spending,shishutsu
即,Soku,soku
下級,Junior,kakyuu
第三者,third party,daisansha
麦,wheat,mugi
日経,Nikkei,nikkei
バッファロー,Buffalo,baffaroo
補正,correction,hosei
委任,Delegation,inin
リリーフ,Relief,ririifu
ブラウザ,browser,burauza
宮中,Imperial court,kyuuchuu
収蔵,Collection,shuuzou
献上,Conceded,kenjou
被告,defendant,hikoku
移送,transfer,isou
通用,Spoken,tsuuyou
苛める,tease,ijime ru
ハノーファー,Hanover,hanoofaa
メルセデス,Mercedes,merusedesu
オールド,Old,oorudo
一方的,Unilateral,ippouteki
打数,Bats,dasuu
フロー,flow,furoo
潤,Jun,jun
環礁,Atoll,kanshou
日夜,day and night,nichiya
発酵,fermentation,hakkou
サイモン,Simon,saimon
先制,Pre-empt,sensei
ユタ,Utah,yuta
車輛,Vehicle,sharyou
申し立てる,Plead,moushi tate ru
イニング,inning,iningu
パール,Pearl,paaru
リーチ,reach,riichi
以西,west,isei
提言,Proposal,teigen
エリート,elite,eriito
オールナイトニッポン,All Night Nippon,oorunaitonippon
須賀,Suga,suga
惹く,Catching,hiku
セメント,cement,semento
キッド,Kid,kiddo
整う,Ready,totonou
尾翼,tail,biyoku
ウォーカー,Walker,uookaa
荷重,load,kajuu
反動,Recoil,handou
マイナス,minus,mainasu
吉良,Kira,kira
候,Weather,sourou
公明党,New Komeito,koumeitou
掘削,Drilling,kussaku
脱走,Escape,dassou
土砂,Sediment,dosha
健一,Kenichi, kenichi
婿,Son-in-law,muko
預かる,Take charge of,azuka ru
馴染む,Become familiar with,najimu
一因,Cause,ichiin
尊重,respect,sonchou
チーズ,cheese,chiizu
譲,Yuzuru,yuzuru
減速,Deceleration,gensoku
年始,Beginning of the year,nenshi
京急,Keikyu,keikyuu
傭兵,mercenary,youhei
レンジャー,Ranger,renjaa
前衛,Vanguard, zenei
器官,organ,kikan
収監,Imprisonment,shuukan
可動,Moveable,kadou
充当,Appropriation,juutou
滑る,slide,suberu
過酷,Severity,kakoku
交配,Mating,kouhai
列挙,Enumeration,rekkyo
フィッシュ,fish,fisshu
メカニズム,mechanism,mekanizumu
ホームラン,Home Run,hoomuran
退場,Out,taijou
日テレ,Nippon Television,nittere
弱年,youth,jaku nen
怪物,monster,kaibutsu
初版,First edition,shohan
真相,truth,shinsou
癖,habit,kuse
パウロ,Paul,pauro
弱点,Weakness,jakuten
余剰,surplus,yojou
河北,Hebei,kahoku
持ち帰る,take away,mochikaeru
厭う,Be weary of,itou
リーガ,La Liga,riiga
往来,Traffic,ourai
混成,Mixed,konsei
草原,Grassland,sougen
戦中,During the war,senchuu
代える,Substitute,kae ru
ソユーズ,Soyuz,soyuuzu
スロー,Slow,suroo
粗,Crude,so
メード,Maid,meedo
或いは,Alternatively,arui ha
教習,Training,kyoushuu
圧迫,Oppression,appaku
線上,Line,senjou
申し込む,Apply,moushikomu
クレーター,crater,kureetaa
合弁,Joint venture,gouben
半減,Half,hangen
久々,Long time,hisabisa
絶える,Extinct,tae ru
虚,Imaginary,kyo
架線,Overhead line,kasen
フライト,Flight,furaito
クーペ,coupe,kuupe
栄誉,honor,eiyo
名物,Specialty,meibutsu
コサック,Cossack,kosakku
カップル,Couple,kappuru
立命館,Ritsumeikan,ritsumeikan
這う,Crawl,hau
格差,Disparity,kakusa
好意,Favor,koui
実数,Real number,jissuu
苦手,Weak,nigate
阿蘇,Aso,aso
旅立つ,Journey,tabidatsu
同種,Same kind,doushu
囚人,Prisoner,shuujin
貯蔵,storage,chozou
遊園地,amusement park,yuuenchi
アンディ,Andy,andi
ゴードン,Gordon,goodon
あきら,Akira,akira
芽,Sprout,me
勝ち越す,Won the majority,kachi kosu
微妙,subtle,bimyou
補完,Completion,hokan
目覚める,wake up,mezame ru
海面,Sea,kaimen
湖南,Hunan,mizuumi minami
発案,Brainchild,hatsuan
絶つ,Cut off,tatsu
司どる,Nikki by Tsukasa,tsukasa doru
奇数,Odd number,kisuu
愛人,mistress,aijin
サラブレッド,Thoroughbred,sarabureddo
ファイターズ,Fighters,faitaazu
デニス,Dennis,denisu
拾う,pick up,hirou
即座に,Immediately,sokuza ni
西尾,Nishio,nishio
筑後,Chikugo,chikugo
友情,friendship,yuujou
来す,Cause,kisu
投獄,Imprisonment,tougoku
注釈,Comments,chuushaku
漁,Fishing,ryou
目論む,Envision,mokuromu
真田,Braid,sanada
連帯,solidarity,rentai
インフラ,infrastructure,infura
奉納,Dedication,hounou
悦,Etsu,etsu
一派,Sect,ippa
あまり,not really,amari
ミハイル,Mikhail,mihairu
激戦,Fierce battle,gekisen
豪族,Powerful family,gouzoku
リポーター,reporter,ripootaa
薬師,Healing Buddha,kusurishi
長安,Changan,chouan
機密,Secrecy,kimitsu
安置,Enshrined,anchi
佐久間,Sakuma,sakuma
明示,EXPRESS,meiji
公司,Company,koushi
捕鯨,whaling,hogei
邪,evil,ja
ソマリア,Somalia,somaria
操業,Operation,sougyou
山名,Yamana,sanmei
提起,Raises,teiki
全日,All days,zenjitsu
年俸,annual salary,nenpou
田川,Tagawa,tagawa
終始,From beginning to end,shuushi
絶望,despair,zetsubou
蛍光,fluorescence,keikou
魔王,Devil,maou
ソニック,Sonic,sonikku
正徳,Masanori,masanori
台東,Taito,taitou
川西,Kawanishi,kawanishi
マルタ,Malta,maruta
高雄,Takao,takao
スレッド,thread,sureddo
ブルックリン,Brooklyn,burukkurin
尾根,Mountain ridge,one
枢機卿,Cardinal,suukikyou
円筒,Cylinder,entou
深海,Deep sea,shinkai
病理,Pathology,byouri
プラント,plant,puranto
水害,Flood disaster,suigai
発進,Take-off,hasshin
貯水,Water storage,chosui
波布,Hub,nami nuno
管弦楽,Orchestral music,kangengaku
バックアップ,backup,bakkuappu
あや,Aya,aya
国宝,National treasure,kokuhou
初等,primary,shotou
有用,useful,yuuyou
伺う,Hear,ukagau
信越,Shin-Etsu, shinetsu
ママ,Mama,mama
ドラゴンボール,Dragon Ball,doragonbooru
海抜,Height above sea level,kaibatsu
ひろし,Hiroshi,hiroshi
ストレス,stress,sutoresu
プリント,Print,purinto
制動,braking,seidou
自信,Self-confidence,jishin
詩集,Poetry anthology,shishuu
麺,noodles,men
ゲルマン,germane,geruman
オンタリオ,Ontario,ontario
受注,Orders,juchuu
交わる,Intersect,majiwa ru
感動,Excitement,kandou
側線,Siding,sokusen
妖精,fairy,yousei
粛清,purge,shukusei
いきなり,Suddenly,ikinari
ジョゼフ,Joseph,jozefu
普遍,Universality,fuhen
在職,His tenure,zaishoku
纏わる,Coils round,matowa ru
茶屋,Teahouse,chaya
議決,Vote,giketsu
ジェームス,James,jieemusu
デイリー,daily,deirii
断,Cross-sectional,dan
日産自動車,Nissan Motor Co.,nissanjidousha
宛てる,Addressing,ate ru
万博,World Expo,banpaku
高騰,Soaring,koutou
発想,Idea,hassou
読書,reading,dokusho
勝者,winner,shousha
多々,many,tata
俳句,Haiku poetry,haiku
入試,Entrance examination,nyuushi
老中,Councilor,rou naka
定番,Classic,teiban
帰属,Attributable,kizoku
杉山,Sugiyama,sugiyama
唇,lips,kuchibiru
壊す,break down,kowasu
山道,Mountain road,yamamichi
ワード,word,waado
ファー,fur,faa
目す,To eyes,me su
塵,dust,chiri
却下,Rejection,kyakka
美容,Beauty,biyou
全滅,Annihilation,zenmetsu
八重,Yae,yae
ニュルンベルク,Nuremberg,nyurunberuku
スーダン,Sudan,suudan
下降,Descent,kakou
コイル,coil,koiru
流動,flow,ryuudou
政宗,Masamune,masamune
一流,top notch,ichiryuu
ミャンマー,Myanmar,myanmaa
判例,Precedent,hanrei
クック,Cook,kukku
割譲,Cession,katsujou
大破,Wreck,taiha
弾丸,bullet,dangan
折れる,Break,ore ru
枯れる,Wither,kare ru
停戦,Cease-fire,teisen
施策,Policy,shisaku
セクター,Sector,sekutaa
不当,Unfair,futou
神秘,Mystery,shinpi
高槻,Takatsuki,takatsuki
古賀,Koga,koga
大物,Big shot,oomono
乗ずる,Multiply,jouzu ru
庇護,Asylum,higo
後進,The reverse,koushin
一応,Once,ichiou
誤差,error,gosa
登用,Appointment,touyou
恰好,Dressed,kakkou
帯域,Zone,taiiki
武者,Warrior,musha
ポピュラー,popular,popyuraa
グラミー,Grammy,guramii
とる,Take up,toru
中津,Nakatsu,nakatsu
演歌,Ballad,enka
特命,Mission,tokumei
隼,Hayabusa,hayabusa
使徒,Apostle,shito
徒名,Adana,to mei
パチスロ,Pachi,pachisuro
ゆっくり,slowly,yukkuri
基底,base,kitei
有り明け,Fitr there,ari ake
スピーカー,speaker,supiikaa
爆笑,Roar of laughter,bakushou
見通す,Forecast,mitoosu
福知山,Fukuchiyama,fukuchiyama
算出,Calculation,sanshutsu
棄権,Abstained,kiken
備中,Bicchu,bitchuu
シャーシ,Chassis,shaashi
オーダー,order,oodaa
確信,conviction,kakushin
集う,Congregate,tsudou
転々,Place to place,tenten
チョコレート,chocolate,chokoreeto
皮肉,Sarcasm,hiniku
公言,Profession,kougen
子爵,Viscount,shishaku
効力,efficacy,kouryoku
応永,Oei era,ou ei
人称,person,ninshou
急進,Radical,kyuushin
終着,Last stop,shuuchaku
渚,Beach,nagisa
発端,Beginning,hottan
ファイター,Fighter,faitaa
ゲームボーイ,Game Boy,geemubooi
土屋,Tsuchiya,tsuchiya
居留,Residence,kyoryuu
別荘,Villa,bessou
絶賛,Great admiration,zessan
符,Marks,fu
東郷,Togo,tougou
県境,Border,kenzakai
ヒルズ,Hills,hiruzu
派手,flashy,hade
西田,Nishida,nishida
吹田,Suita,suita
クロック,clock,kurokku
クラウン,Crown,kuraun
裏付ける,support,urazuke ru
煮る,Simmer,niru
春季,Spring,shunki
模倣,Imitation,mohou
打診,Percussion,dashin
メーク,make,meeku
仮に,what if,karini
作物,produce,sakumotsu
星雲,nebula,seiun
殴る,hit,naguru
適正,Reasonable,tekisei
罰,punishment,batsu
義父,father in law,gifu
容姿,appearance,youshi
戸籍,Family register,koseki
搬送,Transport,hansou
圧勝,Complete victory,asshou
屋内,indoor,okunai
